id,name,alcoholic,thumbnail,glass,recipe,
1,'57 Chevy with a White License Plate,1,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Highball glass,1. Fill a glass with ice. Then add 1 shot of both white creme de cacao and vodka. Stir and Serve,
4,155 Belmont,1,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,White wine glass,Use 1 shot of Dark Rum 2 shots of Light Rum 1 shot of Vodka and 1 shot of Orange Juice. Blend with ice. Serve in a wine glass. Garnish with carrot.,
14,9 1/2 Weeks,1,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,Cocktail glass,"Combine 2 shots of Absolute Citron, 1/2 shot of Orange Liqueur, 1 shot of Strawberry Liqueur and 1 shot of Orange Juice ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.",
17,A Gilligan's Island,1,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,Collins glass,"Combine 1 shot of vodka, 1 shot of Peach Schnapps, 1 shot of Orange juice, 1 shot of Cranberry Juice in a cocktail shaker. Once shaken, pour into glass.",
21,A True Amaretto Sour,1,http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,Old-fashioned glass,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good frosted rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Maraschino Cherry.",
24,A.D.M. (After Dinner Mint),1,http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,Irish coffee cup,"In a shaker add 1/2 a shot of Creme de Menthe, 3/4 of a shot of Southern Comfort, 1/2 a shot of vodka. Shake pour into a tall glass and top up with Hot Chocolate",
25,A1,1,http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Cocktail glass,"Pour all ingredients 2 shots of Gin, 1 shot of Grand Marnier, 1/4 shot of Lemon Juice, dash of Grenadine into a cocktail shaker, mix and serve over ice into a chilled glass.",
30,Abbey Martini,1,http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,Cocktail glass,"Put 2 shots of Gin, 1 shot of Sweet Vermouth, 1 shot of Orange Juice and a dash of Angustura Bitters into a shaker and mix, then strain contents into a chilled cocktail glass.",
36,Absolut Summertime,1,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,Collins glass,"Add all ingredients except lemon to shaker. 2 shots of Absolute Citron, 1/2 shot of Sweet and Sour, 1 shot of Sprite, 3 shots of Soda Water. Fill with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.",
39,Absolutely Fabulous,1,http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,Champagne flute,Mix 1 shot of Vodka and 2 shots of Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,
