id,cocktailid,drinkid
1,1,94
2,1,22
3,4,25
4,4,48
5,4,63
6,4,94
7,14,2
8,14,62
9,14,63
10,14,85
11,17,19
12,17,63
13,17,67
14,17,94
15,21,4
16,21,39
17,21,45
18,21,54
19,24,38
20,24,81
21,24,94
22,24,96
23,25,32
24,25,35
25,25,36
26,25,46
27,30,5
28,30,32
29,30,63
30,30,89
31,36,2
32,36,45
33,36,79
34,36,83
35,36,88
36,39,13
37,39,19
38,39,94
39,40,2
40,40,33
41,40,63
42,40,91
43,42,28
44,42,32
45,42,36
46,42,37
47,42,57
48,44,17
49,44,23
50,44,29
51,44,32
52,47,27
53,47,79
54,47,89
55,48,32
56,48,93
57,49,36
58,49,63
59,49,94
60,50,17
61,50,27
62,50,30
63,50,32
64,50,76
65,50,87
66,50,95
67,58,36
68,58,63
69,58,72
70,65,20
71,65,36
72,65,63
73,65,72
74,93,7
75,93,12
76,97,41
77,97,56
78,97,80
79,105,3
80,105,40
81,106,21
82,106,34
83,106,36
84,106,39
85,106,53
86,106,63
87,106,71
88,106,72
89,106,94
90,107,32
91,107,39
92,107,52
93,107,94
94,117,32
95,117,46
96,117,55
97,157,36
98,157,46
99,157,66
100,157,72
101,190,15
102,190,16
103,190,32
104,190,88
105,190,90
106,190,91
107,190,94
108,190,97
109,206,2
110,206,18
111,206,19
112,206,51
113,207,18
114,207,19
115,207,50
116,207,94
117,210,33
118,210,82
119,217,11
120,217,26
121,217,50
122,222,27
123,222,45
124,222,59
125,222,60
126,222,94
127,229,5
128,229,44
129,229,51
130,229,69
131,229,73
132,229,74
133,229,84
134,236,42
135,236,87
136,236,94
137,239,8
138,239,9
139,239,42
140,239,77
141,249,72
142,249,75
143,249,94
144,259,31
145,259,46
146,259,68
147,259,78
148,266,32
149,266,36
150,266,45
151,266,50
152,266,79
153,302,6
154,302,32
155,302,51
156,307,8
157,307,10
158,307,63
159,307,94
160,320,32
161,320,36
162,320,51
163,320,79
164,320,86
165,320,87
166,320,94
167,344,3
168,344,18
169,344,45
170,359,19
171,359,53
172,359,92
173,361,5
174,361,10
175,361,39
176,361,54
177,361,64
178,361,89
179,363,14
180,363,27
181,363,32
182,363,61
183,363,91
184,364,27
185,364,32
186,364,59
187,365,36
188,365,48
189,365,54
190,365,55
191,365,72
192,368,1
193,368,24
194,368,70
195,372,8
196,372,20
197,372,96
198,376,48
199,376,50
200,376,58
201,376,79
202,376,86
203,377,5
204,377,16
205,377,25
206,377,46
207,377,58
208,387,2
209,387,16
210,387,35
211,387,46
212,391,5
213,391,10
214,391,86
215,391,95
216,397,46
217,397,63
218,397,79
219,397,87
220,408,39
221,408,46
222,408,74
223,408,86
224,427,33
225,427,46
226,427,87
227,435,19
228,435,32
229,435,36
230,461,47
231,461,94
232,461,95
233,495,36
234,495,63
235,495,90
236,502,9
237,502,22
238,502,48
239,515,32
240,515,49
241,515,94
242,532,31
243,532,51
244,532,91
245,532,97
246,541,4
247,541,43
248,541,76
249,544,65
250,544,94
