name,drinkid
"151 proof rum",1
"Absolut Citron",2
"Absolut Vodka",3
"Amaretto",4
"Angostura bitters",5
"Aperol",6
"Apple juice",7
"Bailey's irish cream",8
"Blue Curacao",9
"Bourbon",10
"Cachaca",11
"Carrot",12
"Champagne",13
"Cherry",14
"Cherry Grenadine",15
"Club soda",16
"Cognac",17
"Cointreau",18
"Cranberry Juice",19
"Cream",20
"Cream of coconut",21
"Creme de Cacao",22
"Creme de Cassis",23
"Daiquiri mix",24
"Dark rum",25
"demerara Sugar",26
"Dry Vermouth",27
"Egg White",28
"Fresh Lemon Juice",29
"Fresh Lime Juice",30
"Galliano",31
"Gin",32
"Ginger ale",33
"Gold tequila",34
"Grand Marnier",35
"Grenadine",36
"Heavy cream",37
"Hot chocolate",38
"Ice",39
"Iced tea",40
"Jack Daniels",41
"Kahlua",42
"Kool-Aid",43
"Lavender",44
"Lemon",45
"Lemon juice",46
"Lemonade",47
"Light rum",48
"Lillet Blanc",49
"Lime",50
"Lime juice",51
"Lime juice cordial",52
"Malibu rum",53
"Maraschino cherry",54
"Maraschino liqueur",55
"Midori melon liqueur",56
"Milk",57
"Mint",58
"Olive",59
"Olive Brine",60
"Orange bitters",61
"Orange Curacao",62
"Orange juice",63
"Orange peel",64
"Ouzo",65
"Passion fruit juice",66
"Peach schnapps",67
"Peach Vodka",68
"Pepper",69
"Pina colada mix",70
"Pineapple",71
"Pineapple juice",72
"Pineapple Syrup",73
"Pisco",74
"Raspberry Liqueur",75
"Rum",76
"Sambuca",77
"Sirup of roses",78
"Soda Water",79
"Sour mix",80
"Southern Comfort",81
"Spiced rum",82
"Sprite",83
"St. Germain",84
"Strawberry liqueur",85
"Sugar",86
"Sugar syrup",87
"Sweet and sour",88
"Sweet Vermouth",89
"Tequila",90
"Triple sec",91
"Tropicana",92
"Vermouth",93
"Vodka",94
"Water",95
"White Creme de Menthe",96
"White Rum",97
